Frame,Time (Sec),Y (mm),Z (mm),Layer,MP Area,MP Eccentricity,Tmax,Row,Column,Porosity Label,Porosity Size (mm)
1,0.0,0.0,0.0,1,2745,0.197296900893264,1875,98,96,1,0.4185089974293059
2,0.1524,1.936,0.0,1,1106,0.3508652784201553,1725,96,87,1,0.3316195372750643
3,0.3049,3.872,0.0,1,1318,0.4341784039813672,1739,100,85,1,0.3417737789203085
4,0.4573,5.808,0.0,1,1572,0.4235197539195482,1756,95,91,1,0.3377892030848329
5,0.6097,7.744,0.0,1,1444,0.3741197508744788,1749,101,87,1,0.3448586118251928
6,0.7622,9.68,0.0,1,945,0.2757651920136972,1711,91,87,1,0.2816195372750643
7,0.9146,11.62,0.0,1,1744,0.2871217255177687,1763,101,94,0,0.0
8,1.067,13.55,0.0,1,766,0.2950056838169803,1716,93,85,1,0.2834190231362468
9,1.219,15.49,0.0,1,1273,0.411124034975558,1752,99,95,1,0.3258354755784061
10,1.372,17.42,0.0,1,884,0.4896233792574721,1719,98,91,1,0.2872750642673522
11,1.524,19.36,0.0,1,797,0.407577870301879,1716,96,87,1,0.2685089974293059
12,1.677,21.3,0.0,1,584,0.3740827857743875,1707,101,88,1,0.2663239074550128
13,1.829,23.23,0.0,1,1271,0.4687899007103952,1748,103,90,1,0.3330334190231362
14,1.982,25.17,0.0,1,743,0.3729791726659726,1713,100,88,1,0.2875321336760925
15,2.134,27.1,0.0,1,1065,0.4084199213136342,1744,107,87,1,0.3170951156812339
16,2.287,29.04,0.0,1,1346,0.4192748975096721,1765,98,92,1,0.3169665809768638
17,2.439,30.97,0.0,1,956,0.5127756526064788,1731,103,90,1,0.2976863753213367
18,2.591,32.91,0.0,1,1406,0.3815326616095273,1765,103,94,1,0.3447300771208226
19,2.744,34.85,0.0,1,1052,0.4123520268884123,1744,102,91,1,0.3019280205655527
20,2.896,36.78,0.0,1,355,0.5046589390483743,1686,101,87,1,0.2620822622107969
21,3.049,38.72,0.0,1,574,0.4005583148578807,1704,102,91,1,0.2677377892030848
22,3.201,40.65,0.0,1,721,0.5127355712107337,1719,100,96,1,0.2817480719794345
23,3.354,42.59,0.0,1,630,0.4521067687434859,1718,102,91,1,0.274293059125964
24,7.622,0.0,0.51,2,1684,0.4776372266574522,1776,100,88,1,0.3570694087403599
25,7.774,1.936,0.51,2,502,0.4167451792851738,1690,100,88,1,0.3011568123393316
26,7.927,3.872,0.51,2,1369,0.2733076613597861,1767,103,90,1,0.3347043701799486
27,8.079,5.808,0.51,2,1441,0.35932552967541,1757,102,91,0,0.0
28,8.231,7.744,0.51,2,914,0.3093718682745438,1717,100,85,1,0.2904884318766067
29,8.384,9.68,0.51,2,554,0.4637853190614359,1701,100,88,1,0.2633676092544987
