Frame,Min_Temp,Max_Temp,Mean_Temp,Std_Temp,Median_Temp,Q1,Q3,IQR,Skewness,Kurtosis,High_Temp_Pixels,Porosity Label
Frame_1.csv,1351.0,1875.0,1517.2217,69.05588,1510.0,1475.0,1526.0,51.0,2.292498,6.7786517,2950,1
Frame_10.csv,1201.0,1719.0,1336.9498,90.4955,1301.0,1285.0,1330.0,45.0,2.0869641,4.2055173,3732,1
Frame_100.csv,1096.0,1690.0,1274.626,101.33485,1238.0,1213.0,1315.0,102.0,1.584581,2.368822,3642,0
Frame_1000.csv,1034.0,1631.0,1185.3427,90.55383,1151.0,1139.0,1217.0,78.0,1.9238291,4.0812936,3339,0
Frame_1001.csv,1226.0,2107.0,1360.5409,116.82404,1330.0,1313.0,1360.0,47.0,3.6683075,14.856552,2495,1
Frame_1002.csv,1085.0,1753.0,1265.6344,122.113144,1213.0,1200.0,1300.0,100.0,1.7550219,2.5587807,3962,0
Frame_1003.csv,1133.0,1781.0,1294.5687,116.652824,1250.0,1224.0,1336.0,112.0,1.7753241,2.9858663,3801,0
Frame_1004.csv,1122.0,1750.0,1278.2557,112.015144,1237.0,1211.0,1321.0,110.0,1.7073008,2.7832246,3763,0
Frame_1005.csv,1136.0,1854.0,1334.7766,123.47528,1287.0,1260.0,1378.0,118.0,1.7680258,2.9783792,3789,0
Frame_1006.csv,1114.0,1783.0,1270.3964,116.54162,1216.0,1203.0,1312.0,109.0,1.8437269,3.369998,3551,0
Frame_1007.csv,1115.0,1797.0,1324.0159,112.64491,1273.0,1248.0,1377.0,129.0,1.6878068,2.7322054,3692,0
Frame_1008.csv,1087.0,1817.0,1270.2103,120.40447,1215.0,1202.0,1311.0,109.0,1.9452511,3.959232,3468,0
Frame_1009.csv,1096.0,1767.0,1252.0533,116.457436,1207.0,1183.0,1288.0,105.0,1.8200408,3.3172183,3623,0
Frame_101.csv,1143.0,1745.0,1302.4734,110.47054,1262.0,1235.0,1341.0,106.0,1.6360556,2.3681903,3807,0
Frame_1010.csv,1095.0,1819.0,1278.6422,117.26052,1237.0,1211.0,1314.0,103.0,1.9362278,3.9921224,3495,0
Frame_1011.csv,1092.0,1813.0,1275.355,118.2244,1222.0,1208.0,1318.0,110.0,1.9035941,3.7412145,3428,0
Frame_1012.csv,1082.0,1807.0,1261.8804,114.6537,1209.0,1196.0,1296.0,100.0,1.9367511,4.093966,3404,0
Frame_1013.csv,1094.0,1789.0,1248.3641,117.02579,1193.0,1181.0,1293.0,112.0,1.9039292,3.7682323,3485,0
Frame_1014.csv,1068.0,1774.0,1247.8137,114.37525,1205.0,1180.0,1292.0,112.0,1.8880253,3.8161929,3415,0
Frame_1015.csv,1111.0,1811.0,1266.4232,115.40665,1225.0,1199.0,1315.0,116.0,1.942262,4.1265554,3335,0
Frame_1016.csv,1094.0,1792.0,1262.0396,109.66896,1216.0,1193.0,1292.0,99.0,2.0593977,4.5654016,3525,0
Frame_1017.csv,1076.0,1786.0,1252.9485,112.32768,1202.0,1189.0,1288.0,99.0,1.9669406,4.2234306,3373,0
Frame_1018.csv,1076.0,1834.0,1258.4448,117.7614,1214.0,1189.0,1303.0,114.0,1.9990995,4.5327797,3206,0
Frame_1019.csv,1095.0,1838.0,1268.818,117.384766,1217.0,1194.0,1308.0,114.0,1.9951646,4.3555427,3433,0
Frame_102.csv,1075.0,1701.0,1249.9755,104.51099,1201.0,1188.0,1295.0,107.0,1.7186247,2.9297192,3526,0
Frame_1020.csv,1080.0,1770.0,1230.578,113.02064,1188.0,1164.0,1273.0,109.0,1.90145,4.0075035,3308,0
Frame_1021.csv,1095.0,1828.0,1278.3773,117.91563,1224.0,1211.0,1321.0,110.0,1.8945249,3.7838712,3636,0
Frame_1022.csv,1058.0,1797.0,1233.7762,115.209236,1180.0,1168.0,1278.0,110.0,1.984151,4.3667455,3396,0
Frame_1023.csv,1066.0,1816.0,1246.051,118.463844,1202.0,1177.0,1289.0,112.0,1.9668688,4.2476583,3524,0
